STT,Store Code,Store Name,Address,Region,Province,District,Latlong,,
1,42,HCM - 753 Kha Van Can,"753 Kha Vạn Cân, Phường Linh Tây, Thành phố Thủ Đức, Thành phố Hồ Chí Minh",HCM,Ho Chi Minh,Thu Duc,"10.8532724, 106.7544489",,
2,43,HCM - 174-176 Ta Uyen,"174-176 Tạ Uyên, Phường 6, Quận 11",HCM,Ho Chi Minh,Quan 11,"10.7599529, 106.6535536",,
3,46,HCM - 241-245 Cong Hoa,"241-245 Công Hòa, P13, Tân Bình",HCM,Ho Chi Minh,Tan Binh,"10.8017901, 106.6459902",,
4,48,HCM - 703 Le Hong Phong,"703 Lê Hồng Phong, P12, Q10",HCM,Ho Chi Minh,Quan 10,"10.7710521, 106.6727715",,
5,53,HCM - 101 Tran Quang Khai,"101 Trần Quang Khải, Phường Tân Định, quận 1",HCM,Ho Chi Minh,Quan 1,"10.7921152, 106.6926774",,
6,58,HCM - 317 Hoang Dieu,"317 Hoàng Diệu, P6, Q4",HCM,Ho Chi Minh,Quan 4,"10.7618189, 106.703401",,
7,60,HCM - 182 Hoa Binh,182D Hòa Bình P Hiệp Tận Quận Tân Phú,HCM,Ho Chi Minh,Tan Phu,"10.7708846, 106.6305411",,
8,65,HCM - C1 Pham Hung,"C1/20A Đường Phạm Hùng , Ấp 4 Xã Bình Hưng , Huyện Bình Chánh , Tp.HCM",HCM,Ho Chi Minh,Binh Chanh,"10.7325527, 106.6684848",,
9,76,HCM - 345B Do Xuan Hop,"345B Đỗ Xuân Hợp, Khu phố 5, Phước Long B, Thành phố Thủ Đức, Thành phố Hồ Chí Minh",HCM,Ho Chi Minh,Thu Duc,"10.8218252, 106.7718162",,
10,79,HCM - A3/15 Quoc Lo 50,"A3/15 Ấp 2, Xã Bình Hưng, Bình Chánh, Hồ Chí Minh",HCM,Ho Chi Minh,Binh Chanh,"10.7306442, 106.6509137",,
11,84,HCM - 329 Phan Huy Ich,"329 Phan Huy Ích, Phường 14, Quận Gò Vấp",HCM,Ho Chi Minh,Go Vap,"10.8389662, 106.6369478",,
12,86,HCM - 38 Tran Nao,"38 Trần Não, Phường An Khánh, Thành phố Thủ Đức, Thành phố Hồ Chí Minh",HCM,Ho Chi Minh,Thu Duc,"10.7971167, 106.7311349",,
13,87,HCM - 631 Tinh Lo 10,"631 Tỉnh Lệ 10, P. Bình Trị Đông, Bình Tân",HCM,Ho Chi Minh,Binh Tan,"10.7639086, 106.6143944",,
14,89,HCM - 310 Nguyen Oanh,"310 Nguyễn Oanh, P. 17, Gò Vấp",HCM,Ho Chi Minh,Go Vap,"10.8395258, 106.6759581",,
